QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_001234	Apesar de Modestas morrer sendo um apostador invicto e invencivel, ele jamais apostava por algo que nao fosse a identidade da deusa, vivendo puramente dos ganhos de tais apostas ate o fim de sua vida. {nl}	 모데스타스씨는 죽을 때까지 내기에 지지 않는 불패의 내기꾼으로 죽었지만, 이미 언급한 것처럼 다른 내기는 전혀 하지 않는 삶을 살았고, 여신상의 비밀을 건 내기로 생긴 이득도 대부분 주위에 나누는 삶을 살다 세상을 떠났습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001235	Enfim, essa deusa desconhecida, em troca de dar lucro para um certo apostador de Klaipeda, criou uma interessante, misteriosa e bela estatua para a cidade de Klaipeda, e um conto que duraria por muitas eras.{nl} {nl}	 결국, 미지의 여신께서는 클라페다의 한 내기꾼의 삶에서 내기를 거둬가시는 대신에 흥미로운 질문과 아름다운 여신상 하나를 클라페다의 중앙에 놓아두신 셈입니다. {nl}{nl}				
QUEST_20150317_001236	Falar com Cavaleiro Titas	기사 티타스에게				
QUEST_20150317_001237	Fale com o Batedor	정찰병에게				
QUEST_20150317_001238	Estrada para Klaipeda	클라페다로 가는 길				
QUEST_20150317_001239	Falar com Comandante de Batalha	전투 조장에게				
QUEST_20150317_001240	Favor do Sentinela	경계병의 부탁				
QUEST_20150317_001241	Nao Como Planejado	뜻대로 되지 않는				
QUEST_20150317_001242	Comissao de Aras	아라스의 의뢰				
QUEST_20150317_001243	Favor do Soldado de Suprimento	보급병의 부탁				
QUEST_20150317_001244	Mapa do Tesouro para a Familia do Macom	석공가문의 보물지도				
QUEST_20150317_001245	Favor do Aventureiro	탐험가의 부탁				
QUEST_20150317_001246	Incinerar o Diario do Explorador	탐험가의 일지 소각				
QUEST_20150317_001247	Em sua Honra	그들을 추모하며				
QUEST_20150317_001248	Missao Enfadonha [Avanco para Psionicos]	신경 쓰이는 임무[사이코키노 전직]				
QUEST_20150317_001249	Livro Inexistente [Avanco para Vinculadores]	세상에 없던 책[링커 전직]				
QUEST_20150317_001250	Consciencia Pesada [Avanco para Sapadores]	도둑이 제발[새퍼 전직]				
QUEST_20150317_001251	Livro dos Sonhos do Arco 1 [Avanco para Cacadores]	활이 꿈꾸는 책1[헌터 전직]				
QUEST_20150317_001252	Livro dos Sonhos do Arco 2 [Avanco para Besteiros]	활이 꿈꾸는 책2[쿼렐슈터 전직]				
QUEST_20150317_001253	Livro dos Sonhos do Arco 3 [Avanco para Arqueiros]	활이 꿈꾸는 책3[아처 전직]				
QUEST_20150317_001254	Livro dos Sonhos do Arco 4 [Avanco para Patrulheiros]	활이 꿈꾸는 책4[레인저 전직]				
QUEST_20150317_001255	Escudo Sobre Flores [Avanco para Montanheses]	꽃보다 방패[하이랜더 전직]				
QUEST_20150317_001256	Dever do Juramento [Avanco para Peltastas]	맹약에 대한 도리[펠타스타 전직]				
QUEST_20150317_001257	Lenda do Ferro Frio [Avanco para Criomantes]	한철의 전설[크리오맨서 전직]				
QUEST_20150317_001258	Trabalho Duro Nao Trai [Avanco para Magos]	노력은 배신하지 않는다[위저드 전직]				
QUEST_20150317_001259	Agua Benta Perfeita [Avanco para Clerigos]	완벽한 성수[클레릭 전직]				
QUEST_20150317_001260	Segredo dos Flecheiros [Avanco para Besteiros]	플레쳐의 비법[쿼렐슈터 전직]				
QUEST_20150317_001261	Completador de Fedimian [Avanco para Arqueiros]	페디미안의 보완자[아처 전직]				
QUEST_20150317_001262	Investigador de Fedimian [Avanco para Patrulheiros]	페디미안의 탐문자[레인저 전직]				
QUEST_20150317_001263	Movimento Cuidadoso [Avanco para Sapadores]	조심스런 행보[새퍼 전직]				
QUEST_20150317_001264	Encontrando o Modelo [Avanco para Escultores]	모델 찾기[딥디르비 전직]				
QUEST_20150317_001265	Onde o Sol Brilha [Avanco para Piromantes]	태양이 비출 자리[파이로맨서 전직]				
QUEST_20150317_001266	Guardiao de Fedimian [Avanco para Magos]	페디미안의 수호자[위저드 전직]				
QUEST_20150317_001267	Trofeu de Guerra	전리품				
QUEST_20150317_001268	Medo do Ceu	하늘에서 나타난 공포				
QUEST_20150317_001269	Arquivista Maluco	실성한 기록관				
QUEST_20150317_001270	Olhos de Zachariel	자카리엘의 눈				
QUEST_20150317_001271	Pertences Preciosos do Soldado 	병사의 소중한 물건				
QUEST_20150317_001272	Tome controle da Estrada para o Portao do Grande Rei	대왕의 관문으로 가는 길 확보				
QUEST_20150317_001273	Missao Inacabada	끝나지 않는 임무				
QUEST_20150317_001274	Honra Trivial	부질없는 명예				
QUEST_20150317_001275	Pesquisador Desaparecido	사라진 연구원				
QUEST_20150317_001276	Interferencia nos Negocios	영업 방해				
QUEST_20150317_001277	Desaparecimentos Preocupantes	신경쓰이는 실종				
QUEST_20150317_001278	Favor do Novo Pesquisador	신입 왕릉 연구원의 부탁				
QUEST_20150317_001279	Remedio de Jonas	요나스의 약				
QUEST_20150317_001280	Conserte o Filtro Central 	중앙 정화장치 수리				
QUEST_20150317_001281	Ative o Filtro de Passagem	통로 정화장치 가동				
QUEST_20150317_001282	Problemas com Filtro de Circulacao	순환 정화장치의 문제				
QUEST_20150317_001283	Filtro Auxiliar Inoperante	작동을 멈춘 보조 정화장치				
QUEST_20150317_001284	Destruidor do Filtro Principal	주 정화장치의 파괴범				
QUEST_20150317_001285	Segredo do Galho da Arvore	나무껍질의 비밀				
QUEST_20150317_001286	Fragmento da Asa	날개 조각				
QUEST_20150317_001287	Lacre da Familia Real	왕가의 봉인				
QUEST_20150317_001288	Recrutamento do Soldado	용병 모집				
QUEST_20150317_001289	Comissao Inacabada	끝나지 않은 의뢰				
QUEST_20150317_001290	Informacao sobre Saugas	사우가스에 대한 정보				
QUEST_20150317_001291	Investigue a Vila dos Mineradores	광산마을 탐문				
QUEST_20150317_001292	Dedicacao do Gerente da Mina Brinker	광산 소장 브링커의 헌신				
QUEST_20150317_001293	Preocupacao da Senhora Curandeira	치유사 아가씨의 고민				
QUEST_20150317_001294	Completando a Forca da Alma	영혼의 힘 완성				
QUEST_20150317_001295	Almas Relutantes	미련많은 영혼들				
QUEST_20150317_001296	Memorial	위령제				
QUEST_20150317_001297	Tecela Entronada Perigosa	위험한 쓰론위버				
QUEST_20150317_001298	Salvacao Errada	잘못된 구원				
QUEST_20150317_001299	Ultima Missao	마지막 임무				
QUEST_20150317_001300	Tropa Desaparecida	사라진 부대원				
QUEST_20150317_001301	Onde estao as Tropas de Suprimento	보급부대는 어디에				
QUEST_20150317_001302	Desastre da Grande Abelha Chifruda	큰뿌리 벌의 재앙				
QUEST_20150317_001303	Controle a Rota de Suprimento	보급로 확보				
QUEST_20150317_001304	Restos Mortais do Ladrao	약탈자의 잔재				
QUEST_20150317_001305	Floresta do Silencio	고요의 숲				
QUEST_20150317_001306	Alma em um Jarro	독 안에 든 영혼				
QUEST_20150317_001307	Floresta Infestada de Demonios	숲에 스며든 마족				
QUEST_20150317_001308	Cacador de Alma	영혼 사냥꾼				
QUEST_20150317_001309	Barreira de Calor	관문 열기				
QUEST_20150317_001310	Espirito Errante	헤메는 영혼				
QUEST_20150317_001311	Julgamento do Escultor	조각가의 시험				
QUEST_20150317_001312	O Jarro do Guardiao	수호자의 항아리				
QUEST_20150317_001313	Acender o Fogo	불을 밝혀라				
QUEST_20150317_001314	Vamos Acender o Fogo	불을 밝히자	QUEST_20150317_001313	Acender o Fogo	불을 밝혀라	
QUEST_20150317_001315	Liberacao da Magia	마력의 해방				
QUEST_20150317_001316	Lugar Oculto	숨겨진 곳				
QUEST_20150317_001317	Emergencia	긴급상황				
QUEST_20150317_001318	Lanterna Corrompida	오염된 석등				
QUEST_20150317_001319	Controle-se!	정신차려!				
QUEST_20150317_001320	Velha Historia	옛날 이야기				
QUEST_20150317_001321	Herbalista Suspeito	수상한 약초꾼				
QUEST_20150317_001322	Para Ser um Grande Soldado	멋진 병사가 되기 위해				
QUEST_20150317_001323	Amigos Para Sempre	영원한 친구				
QUEST_20150317_001324	Portao da Igreja	성당 정문				
QUEST_20150317_001325	O Truque Lendario	역사에 남을 속임수				
QUEST_20150317_001326	Ataque Leve	빛의 습격				
QUEST_20150317_001327	Sacrario Oculto	숨겨진 성소				
QUEST_20150317_001328	Crise Prevista	예견된 위기				
QUEST_20150317_001329	Caca ao Tesouro	보물찾기				
QUEST_20150317_001330	Grupo de Pesquisa Desaparecido	사라진 연구단				
QUEST_20150317_001331	Pesquisa do Historiador Rexipher 	사학자 렉시퍼의 연구				
QUEST_20150317_001332	Truque do Demonio	마족의 간계				
QUEST_20150317_001333	Varrer o Forjador	위조범 소탕				
QUEST_20150317_001334	A Verdadeira Intencao de Rexipher	렉시퍼의 본색				
QUEST_20150317_001335	Autossuficiencia	현지 조달				
QUEST_20150317_001336	Proteja a Heranca	유적보호				
QUEST_20150317_001337	O Nepenthes Imortal	영생의 네펜더스				
QUEST_20150317_001338	O Potencial do Vigia	파수꾼의 저력				
QUEST_20150317_001339	Negociacao	협상				
QUEST_20150317_001340	Espada para o Escudo e o Povo	국민과 방패를 위한 검				
QUEST_20150317_001341	Perturbacao da Besta Alada	날짐승의 방해				
QUEST_20150317_001342	Primeira Flecha	첫 번째 화살				
QUEST_20150317_001343	Tracado da Estrela	별의 흔적				
QUEST_20150317_001344	Missao Final	마지막 명령				
QUEST_20150317_001345	Previsao da Geada de Pedra	석화서리 예보				
QUEST_20150317_001346	Mentirinha Inocente	선의의 거짓말				
QUEST_20150317_001347	Nas Garras	손아귀 속으로				
QUEST_20150317_001348	Limpador	청소꾼				
QUEST_20150317_001349	Grande Portal de Fuga	대탈출 포탈				
QUEST_20150317_001350	Tudo a Mesma Coisa	한통속				
QUEST_20150317_001351	Pequena Diferenca	작은 차이				
QUEST_20150317_001352	Acidente Irrevogavel	돌이킬 수 없는 사고				
QUEST_20150317_001353	Opiniao Magica	주술적 견해				
QUEST_20150317_001354	Pescando em Terra	땅 위에서 즐기는 낚시				
QUEST_20150317_001355	Ardor pelo Estudo	학구열				
QUEST_20150317_001356	E o Mel	꿀 때문이야				
QUEST_20150317_001357	Amizade de Dois Amigos	두 친구의 우정				
QUEST_20150317_001358	Objetivo do Monstro dos Tres Riachos	세개울 몬스터들의 목적				
QUEST_20150317_001359	Altar dos Tres Riachos	세개울의 제단				
QUEST_20150317_001360	Segredo da Fazenda	경작지의 비밀				
QUEST_20150317_001361	Terra Concedida pelo Poder da Deusa	여신의 힘이 깃든 땅				
QUEST_20150317_001362	Mao do Espantalho	허수아비 손이라도				
QUEST_20150317_001363	Torre Lacrada Destruida	부서진 봉인탑				
QUEST_20150317_001364	Jovem Magico Owyn	청년 요술사 오윈				
QUEST_20150317_001365	Provas de Deslumbramento	현혹의 증거				
QUEST_20150317_001366	Alma Lacrada	봉인된 영혼				
QUEST_20150317_001367	Pote Suspeito	수상한 항아리				
QUEST_20150317_001368	Que Tipo de Pecado	도대체 무슨 죄를 지었기에				
QUEST_20150317_001369	Caixa Suspeita	수상한 상자				
QUEST_20150317_001370	Lacres Demais	너무 많은 봉인석				
QUEST_20150317_001371	Transmutar Estranho Peludo	변이술사 퍼리 오드				
QUEST_20150317_001372	Simon Shaw Esquentadinho	열혈남아 사이먼 쇼우				
QUEST_20150317_001373	Verdade sobre o Lacre Suspeito de Pedra	수상한 봉인석들의 정체				
QUEST_20150317_001374	Fantasia do Vigia	파수꾼의 몽상				
QUEST_20150317_001375	Totens Perturbados	속 뒤집어지는 토템				
QUEST_20150317_001376	Boneca de Purificacao	정화 인형				
QUEST_20150317_001377	Caminho da Curandeira	치유사의 길				
QUEST_20150317_001378	Adoracao Eterna	영원한 경배				
QUEST_20150317_001379	Memoria Sobrevivente	남겨진 기억				
QUEST_20150317_001380	Controle da Estatua da Deusa	여신상 관리				
QUEST_20150317_001381	Bondade nas Oferendas	재물에도 은혜를				
QUEST_20150317_001382	Liberte a Deusa Saule	사울레 여신 해방				
QUEST_20150317_001383	O Mago e a Torre da Maga	마법사와 마법사의 탑				
QUEST_20150317_001384	Abra-te Sesamo	열려라 참깨				
QUEST_20150317_001385	Favor do Seguranca	경비병의 부탁				
QUEST_20150317_001386	Ameaca da Fissura	단층지의 위협				
QUEST_20150317_001387	Fome Insaciavel	채워지지 않는 허기				
QUEST_20150317_001388	Gula Infinita	끝없는 식탐				
QUEST_20150317_001389	Nao Pode Ser Levado	빼앗길 수 없어				
QUEST_20150317_001390	Suprimentos Alimenticios da Estrada do Demonio Faminto	큰아귀 길의 식량무지				
QUEST_20150317_001391	Teste de Libertacao da Alma Enraivecida	분노의 봉인 풀기 시험				
QUEST_20150317_001392	Adoracao para a Bencao	축복을 위한 경배				
QUEST_20150317_001393	Estatua Genuina da Deusa	참된 여신상				
QUEST_20150317_001394	Sacrario da Verdade ou Mentira	거짓 또는 진실의 성소				
QUEST_20150317_001395	Bencao Atraves de Dinheiro	금전으로 받는 축복				
QUEST_20150317_001396	Evitando Enfatuacao	미혹에서 벗어나				
QUEST_20150317_001397	Purificacao da Lagoa, Recuperacao da Arvore	샘물의 정화, 나무의 회복				
QUEST_20150317_001398	Se Mover Atraves do Espaco	공간의 이동을 위해				
QUEST_20150317_001399	Estatua Excentrica	기이한 조각상				
QUEST_20150317_001400	Debandando a Reuniao Fantasmagorica	유령 집결 해체				
QUEST_20150317_001401	Chapa Misteriosa	정체불명의 석판				
QUEST_20150317_001402	Bolota de Siaulamb	샤울렘의 덤블볼				
QUEST_20150317_001403	Dados da Escultora Hilda	조각가 힐다의 자료				
QUEST_20150317_001404	Legado da Familia Real	왕가의 유산				
QUEST_20150317_001405	Epitafio de Flurry	플러리의 비문				
QUEST_20150317_001406	O Sonho da Deusa do Bispo	주교가 꾼 여신의 꿈				
QUEST_20150317_001407	Os Sentimentos Sinceros de Moises	모제 영감의 진심				
